,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
"Admin would like to following Rewards to be made available as Flexi Perks for Romania:
Sephora
Fashion Days
Ikea
eMag
Kaufland
Carrefour
Tazz
Elefant.ro",01/07/24,Admin,UK/Romania,Customer feedbaxck (Admin),"Users in Romania who are tied to companies with higher FP packages, are building up FP balances without many attractive options to spend them on. The Admin has suggested these brands would be most valuable to their team and directly said it would be a huge improvement to the offering that we currently have there.",,Mid-Global,120,100-249,Corporate services,,Ellie Farley,Perks & Mobile,Under Consideration,Elanor Farley this is being reviewed by Charlotte Atkinson,Adarsh,,,,,,"Romania Admin Requests New Flexi Perks Options For Employee Spending","Limited attractive Flexi Perk options in Romania causing unspent balance accumulation","Add Sephora, Fashion Days, Ikea, eMag, Kaufland, Carrefour, Tazz, Elefant.ro to Romania offerings",3
"When bulk tidying up teams, it's great that you can bulk move people but if they are already in an existing team they are then shown to be in two teams. There needs to be a bulk remove option. E.g. 113 employees on Bosch bulked moved from team SES to SXGB but employees then were shown to be in both teams. To remove them from the old team, they needed to be manually removed one by one. Bosch have had a lot of big team changes, Pennon Group are about to do a mass tidy up and so is Starling Bank. I forsee this being a really timely exercise.",01/07/2024,"Customer Success Manager feedback - Starling Bank, Bosch and Pennon Gorup",Global,Customer Success feedback,Pennon Group and Starling Bank are both doing a mass tidy up of teams.,Add in a bulk remove feature - make it easier to remove people from teams in bulk ,NA,NA,"3,000+",NA,,Alice Tonks,Customer Experience,,,,,,,,"Bulk Team Management Tool Needs Removal Feature For Employee Groups","Manual team removal process inefficient for bulk employee moves between teams","Add bulk remove feature for easier team management transitions",4
"now that clients receive quarterly/semi-annually Flexi Points, it would be good for them to be able to set up a monthly automation of Reward Points to all employees so that they don't have to do it manually every single month. Just an internal suggestion :)",01/07/2024,Internal,UK,Customer Success feedback,"We're presenting usage of the wellness hub as worse than it actually is, as we no longer offer webinar registration, the number reporting will be 0. It's confusing our clients thinking that their employees don't want to engage with our content",Remove the webinar registration statistic from the reporting section,Scale,140,100,Financial Services,,Ewelina Dudzik,Customer Experience,Under Consideration,yes. Will pick thisup in upcoming sprint,,,,,,,"Wellness Hub Reporting Shows Incorrect Engagement Due Webinar Metric","Webinar registration metric showing zero engagement, misrepresenting wellness hub usage","Remove webinar registration statistic from reporting section",5
"Automations: Could we please have an option to set up an automation so that the platform sends out a celebration message without Reward Points only on specific anniversaries? (In this case, the client has no budget for RPs but wishes to avoid sending recognition every single year.) It would also be appreciated if the recognition itself automatically analyses and indicates which anniversary is being celebrated (e.g. Congratulations on your 4th anniversary, etc.).
",04/07/2024,Admin,UK,Customer feedback,Increasing the usage of automations by offering admins more options in how they want to utilise this feature.,"Duplicate the Custom Reward + Recognition tabs for Recognitions only. Add a set of variable text, f.e. {anniversary year}, {recipient name}, etc to make it more personalised ",Scale,100,250-2000,Banks,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,"Noted Ewelina Dudzik, worth mentioning though that the banner which appears on the user's homepage and the email message that gets generated mention the number of years. We can look to include in the recognition messasge as well. 
Sending a recognition on certain years and not on others is something which seems quite bespoke - are there other customers who are sharing similar feedback?",,,,,,"Admin Requests Selective Anniversary Recognition Automation With Year Count","Anniversary automation lacks customization for specific years and personalized messaging","Add variable text support for custom recognition messages and selective year triggers",4
"An admin mentioned that it would be great if Perkbox could create a real-time TV dashboard that they could easily display on their TVs around the office, and that would feed recognitions live (like a geckoboard). Such dashboard could stream recognitions and greeting cards live. Currently, they have to take screenshots of recognitions written over the last week and copy them into a PowerPoint presentation for display. Implementing this feature would not only save them time but also encourage others to recognise their peers more frequently.",05/07/2024,Admin,UK,Customer feedback,Increasing and promoting the usage of recognitions,,Scale,200,230,Consumer Product Manufacturing,,Ewelina Dudzik,Recognition & Rewards,Not Priority,A very interesting use case Ewelina Dudzik- while it's not a priority at the moment - would be good to see if other customers share this need.,,,,,,"Real-time TV Dashboard Needed For Office Recognition Display","Manual process of creating PowerPoint presentations for office recognition displays","Create live-streaming dashboard for recognitions and greeting cards",3
Images on Celebration Hub. Punch Pubs don't have celebration hub switched on because they use Mo which allows them to share images and it's a huge part of their culture and this is the only reason they don't use us for celebration hub and reward. Can someone take a look ast the call recording and can I also have a discussion with who picks this up as I think it's a fantastic use case for this.,05/07/2024,Punch Pubs,UK,Admin request,"Would mean the customer switched on celebration hub, moves all their recognition and reward onto our platform",All users to share images with their recognitions like a social space for them.,Managed- complex domestic,120,300,Hospitality,https://us-30924.app.gong.io/call?id=3159341141707846983,Catherine Adamson,Recognition & Rewards,Under Consideration,Catherine Adamson- we are looking to unlock gifs and images on celebation hub. Something we plan to enable in Q3'24,Hardeep ,,,,,"Image Sharing Capability Missing From Celebration Hub","Customer using competitor for image sharing, preventing celebration hub adoption","Enable image and GIF sharing in celebration hub posts",4
"Hi team, I can see a new tab has been added on Irati's Perk pages called 'Incidents' which is super helpful for CH to see reasons why a user's payment has failed or if the Perk is offline - would we be able to add a timestamp field to this data so we can see the time of day the incident occured? Thanks!",08/07/2024,Internal,UK,Internal,Helps CH identify the time of a Perk incident.,Extra column on the 'Incidents' tab of a Perk's deal page.,N/A,N/A,N/A,N/A,N/A,Sofie White,Perks & Mobile,Under Consideration,Sofie White should be a quick one to include - will check on this,,,,,,"Incident Tracking Timestamp Feature Request From Internal Team","Unable to determine exact timing of Perk payment failures and offline status","Add timestamp column to incidents tab for tracking Perk issues",5
"I'd love to look at a more concrete way for Perkbox users to confirm their identification as a Perkbox member via the app. WHY? Certain Perks require 'Proof of Perkbox membership' in person or from a screenshot in order to redeem the discount. An example of this is Fitness First (gym) in Australia. The closet page to this is the 'my account' page on the app which has name and email etc. However, if the compmany decides to add their logo and colouring then there is no mention of Perkbox and subsequently no way to prove that the user is coming from Perkbox. FIX? Simply add an additonal 'powered by Perkbox' logo somehwere on the 'my account' app page. ",11/07/2024,Users and Partners,Global,"User, Partner",Losing partners as there is no way to finalise redemptions. Less redemptions as more barries to entry (redemption steps),FIX? Simply add an additonal 'powered by Perkbox' logo somehwere on the 'my account' app page. So 'Perkbox' is visible even when a company custimses their Perkbox instance with logo and colour scheme. ,N/A,N/A,N/A,N/A,N/A,David Bliss,Perks & Mobile,Under Consideration,David Bliss we're make some changes to the app and can consider including this. ,,,,,,"Perkbox Membership Verification Needed For In-Person Discounts","Users unable to prove Perkbox membership for in-person redemptions","Add Perkbox logo to app account page for membership verification",4
"Educating users that they have the ability to suggest perks. We currently have the nolt form, however I've found a lot of users aren't aware about this. As the nolt form is a link, its not easily accessible quickly through the platform. When users don't see perks they want, they loose engagement with the platform. If we are able to push this more visibily, we have a better understanding of the most common requested perks and have a starting point to help aid better engagement. ",11/07/2024,users  ,Global,Internal request,"We are helping to solve low engagement due to the perk offerings on the platform. At the moment, we are finding out too late when either the user is disengaged or the tenant is cancelling. If we were to add a box at the side of the perks hub (I have sent a visual to jonathan) where it integrates the form submission directly to the platform, users will be aware of it and use it. It also shows we want to listen to our users and what they want to see. ","A box at the side of the perks hub (I have sent a visual to jonathan) where it integrates the perks suggestion nolt form directly to the platform, allowing users to suggest perks whilst browsing the perks currently available.",N/A,N/A,N/A,N/A,N/A,Amber Ogunleye,Perks & Mobile,Under Consideration,"Amber Ogunleye this is something we can definitely consider. However, the concern would be how we react to all this information coming in and whether or not there's a process with partnerships in place for it. Else it would just remain as a method of users to shout in to the ether. ",,,,,,"Perk Suggestion Feature Lacks Visibility On Platform","Users unaware of perk suggestion form, leading to disengagement","Integrate perk suggestion form directly into perks hub interface",4
"Providing a better user experience through the forms of being able to filter our perks by online only and in-store only. At the moment, when a user knows they only wish to go to a store but would like to view all of our store only vouchers, they cannot do so unless they go into each perk one by one to find this information out. This is a lengthy task. If users had a quick way to be able to either filter this by in store/online or for us to add this as a call out next to the price of the perk so it is visible prior to clicking on it.  ",11/07/2024,users  ,Global,Internal request,"After feedback from a user and a lengthy conversation trying to help them know which of our perks are instore only, it prompted the idea of an extra filter on the catalogue or to add instore or online to the perk title or underneath where the price is. This will help our users quickly be able to identify which vouchers are which. By adding this, we are solving two problems, the one I have already spoke about and the other problem of users not realising vouchers are instore or online only because they haven't read the terms and then seek a refund. This will add another layer of clarity and also give CH another education method when having these conversations. ",Filter between online only / instore only OR this information added to the perk title/ next to the perk price,N/A,N/A,N/A,N/A,N/A,Amber Ogunleye,Perks & Mobile,Not Priority,Amber Ogunleye we have considered enhancing our filters on the platform and this is certainly one we haven't considered but can bring in when we do get to it. Currently however it doesn't fit in to the priority of everything else we're doing,,,,,,"Online vs In-Store Perk Filter Functionality Missing","Users manually checking each perk for redemption method details","Add online/in-store filter and display redemption type on perk tiles",3
